nama_makanan,gambar,kalori,karbohidrat,protein,harga,level_harga,tipe_diet,cluster
Acar Timun dan Tomat Segar,https://images.eatthismuch.com/med/36583_erin_m_e8029c7c-8e28-4a2e-99e4-f74481a4fcd9.png,92.0,6.4,1.2,7000.0,Murah,Normal,0
Salad Tuna dan Alpukan Paleo,https://images.eatthismuch.com/med/255176_erin_m_3c4d93f4-6f37-46e5-8a34-32197b722981.png,451.0,19.2,31.7,35000.0,Premium,Vegetarian,1
Ayam Tumis,https://images.eatthismuch.com/med/33774_tabitharwheeler_e9d47dcf-5ed2-424f-a4e2-db6f7f26364b.jpg,192.0,5.7,31.2,14000.0,Normal,Normal,2
Ayam Keju Bayam,https://images.eatthismuch.com/med/33936_ldementhon_a99db1d4-c0b9-4ff5-8561-49a4c71923bf.jpg,508.0,7.7,62.2,21000.0,Mahal,Vegetarian,1
Ayam Goreng saus Lemon ,https://images.eatthismuch.com/med/386715_tabitharwheeler_c0ab67e2-de51-4706-9bee-cde5708800e4.jpg,173.0,0.6,26.6,16000.0,Normal,Keto,2
Pancake Protein,https://images.eatthismuch.com/med/412920_lfrontier_dd1b5a3a-bccc-41bb-9a54-7fc0f984aebd.png,250.0,27.7,13.8,18000.0,Normal,Normal,2
Daging Sapi Tumis,https://images.eatthismuch.com/med/33767_erin_m_2dda50bc-732d-4a8d-81b5-eabcd0304d66.png,217.0,10.1,21.3,17000.0,Normal,Normal,2
Ayam Panggang Kulit Keju,https://images.eatthismuch.com/med/36672_erin_m_6f623a9d-13e6-496d-a5d9-9a9302932f76.png,364.0,2.9,29.2,22000.0,Mahal,Keto,1
Asparagus Panggang,https://images.eatthismuch.com/med/33503_erin_m_b1221caa-c35f-4911-8251-8b63682d1cfb.png,69.0,4.7,2.6,9000.0,Murah,Keto,0
Brokoli Kukus dengan Minyak Zaitun dan Keju,https://images.eatthismuch.com/med/45106_tabitharwheeler_90dff40b-4259-4496-9aab-3eafcbb1dfcf.jpg,189.0,11.6,8.6,13000.0,Normal,Normal,2
Salmon Panggang,https://images.eatthismuch.com/med/45079_erin_m_0a52e2b4-4feb-4eab-be3b-8374032688d9.png,243.0,0.3,28.3,15000.0,Normal,Keto,2
Sandwich Tuna Barbeque,https://images.eatthismuch.com/med/37612_elm333_e372780d-7e82-4f5a-b6b9-cfc50c4edb33.jpg,375.0,47.7,36.8,34000.0,Premium,Normal,1
Roti Panggang Pisang Selai Kacang,https://images.eatthismuch.com/med/39533_erin_m_5ba9f81a-bd3e-47fc-872b-b553372bcf12.png,386.0,51.9,11.4,37000.0,Premium,Normal,1
Salad Caesar Sehat,https://images.eatthismuch.com/med/34571_erin_m_78b2f47c-7cf1-4a17-95c1-5d5c67d83e43.png,377.0,3.9,30.3,37000.0,Premium,Keto,1
Chicken Fajitas,https://images.eatthismuch.com/med/412924_tabitharwheeler_1a903d07-fd65-4de8-a024-48fe402e74ff.jpg,355.0,29.9,31.1,26000.0,Mahal,Normal,1
Banana oatmeal,https://images.eatthismuch.com/med/33511_elm333_b07f7274-1079-4f17-a461-46b7085230d9.jpg,494.0,96.8,19.4,34000.0,Premium,Normal,1
Salad Ayam Sederhana,https://images.eatthismuch.com/med/3087507_ldementhon_c9e72ef3-788f-4bd7-8370-eac0239d39fc.jpg,161.0,8.6,3.6,13000.0,Normal,Vegetarian,2
Southwestern Eggs,https://images.eatthismuch.com/med/34671_erin_m_e65f8c8a-5d22-4b5a-8c50-49742ea73e78.png,256.0,3.2,18.9,19000.0,Normal,Keto,2
Vegetarian Fajitas,https://images.eatthismuch.com/med/412924_tabitharwheeler_1a903d07-fd65-4de8-a024-48fe402e74ff.jpg,275.0,35.0,13.0,10000.0,Normal,Normal,2
Telur Orrak-arik dengan Bayam dan Keju,https://images.eatthismuch.com/med/207668_tabitharwheeler_6eb87ced-d1be-4727-8d19-b530db75b504.jpg,219.0,2.6,16.1,12000.0,Normal,Keto,2
Ayam Barbeque,https://images.eatthismuch.com/med/34749_ldementhon_ef6080bf-ccf8-4167-973a-0590b9151464.png,344.0,36.0,27.5,24000.0,Mahal,Normal,1
Kentang Panggang,https://images.eatthismuch.com/med/36642_tabitharwheeler_03f4d328-3586-45fd-a84a-56ddec4ac772.jpg,233.0,29.8,3.6,18000.0,Normal,Normal,2
Selain kacang & Pisang Oatmeal,https://images.eatthismuch.com/med/413007_cyberchristie_f063e2da-91d9-4962-9123-2d6c710600aa.png,282.0,46.1,9.3,11000.0,Normal,Normal,2
Smoothie Mangga,https://images.eatthismuch.com/med/37604_elm333_9cdd0ccb-b391-4448-ba48-c75dae1870a1.jpg,355.0,44.3,32.8,40000.0,Premium,Normal,1
Sandwich Turkey,https://images.eatthismuch.com/med/943340_elm333_9cdbf1e6-d06d-41c0-92bd-61606f323390.jpg,177.0,27.2,10.5,20000.0,Normal,Normal,2
Sandwich Ham dan keju ,https://images.eatthismuch.com/med/33492_tabitharwheeler_a8cfbf0f-6c9f-47bc-abb1-4eac0e248087.jpg,535.0,29.4,32.7,37000.0,Premium,Normal,1
Brokoli Kukus,https://images.eatthismuch.com/med/39781_tabitharwheeler_faeb2596-a9fe-4a32-a365-52aa28bdabb7.jpg,134.0,11.3,4.9,17000.0,Normal,Normal,2
Breakfast Parfait,https://images.eatthismuch.com/med/34796_elm333_c0af6c1e-0e0c-4779-8c01-4bafcb5dc746.jpg,333.0,43.9,27.6,21000.0,Mahal,Normal,1
Omelet putih telur keju,https://images.eatthismuch.com/med/412935_elm333_2b6170b6-7dbc-4e9c-acc2-a73c4f613295.jpg,392.0,2.7,37.4,37000.0,Premium,Keto,1
Big PB&J Sandwich,https://images.eatthismuch.com/med/33482_tabitharwheeler_6cd5f22c-a4fa-476b-abba-c9c9a42c3c3c.jpg,621.0,64.0,21.5,26000.0,Mahal,Normal,1
Caprese Sandwich,https://images.eatthismuch.com/med/55543_erin_m_169a3fe7-127c-46b3-99bc-6f8fb5fa66f1.png,340.0,52.1,17.5,20000.0,Normal,Normal,1
Egg Salad Sandwich,https://images.eatthismuch.com/med/33525_tabitharwheeler_78fe767b-800b-43c9-b262-6af2232f46a7.jpg,482.0,25.6,20.2,28000.0,Mahal,Vegetarian,1
Buncis Panggang,https://images.eatthismuch.com/med/39204_erin_m_8f15074c-2348-4b94-ac9e-ff8c3c5b6145.png,122.0,14.1,3.7,18000.0,Normal,Normal,2
Eggs Cheese Turkey Sausage Omelet,https://images.eatthismuch.com/med/35583_erin_m_aa758c85-e7f7-459e-9aa1-fb52ccec6f32.png,368.0,2.3,32.5,38000.0,Premium,Keto,1
Ayam Panggang Lemon,https://images.eatthismuch.com/med/36664_tabitharwheeler_820895b6-fe45-4185-8863-77a23b436c72.jpg,196.0,4.2,29.4,19000.0,Normal,Keto,2
Smoothie Protein Coklat Kacang,https://images.eatthismuch.com/med/33547_tabitharwheeler_18bd494c-fb4f-4311-9fe0-9ef4500d0964.jpg,542.0,49.8,40.7,23000.0,Mahal,Normal,1
Pancake oat dan keju Cottage,https://images.eatthismuch.com/med/39211_tabitharwheeler_b0fc3ecd-6a00-4126-8962-4a4b3f2a771d.jpg,296.0,33.6,33.5,15000.0,Normal,Normal,1
Sandwich Telur dan Keju,https://images.eatthismuch.com/med/717847_jhannavanesa1213_11dc0e64-05cb-43f2-9781-aad7ca57267d.jpeg,261.0,25.1,19.2,17000.0,Normal,Normal,2
Ayam Bawang Putih Teriyaki,https://images.eatthismuch.com/med/39291_tabitharwheeler_6e9c9912-70b0-4bbd-833f-7b1e7e7870f5.jpg,175.0,6.3,27.8,15000.0,Normal,Normal,2
Roti Panggang Kayu Manis,https://images.eatthismuch.com/med/36559_tabitharwheeler_ce337033-07e9-457d-8289-614bdc9d78e3.jpg,130.0,18.8,3.6,15000.0,Normal,Normal,2
Salad Timun Tomat dengan Tuna,https://images.eatthismuch.com/med/905900_CaseyMooney_8014238a-f167-45c1-ac1c-1922d176fecc.png,184.0,9.4,34.2,16000.0,Normal,Vegetarian,2
Denver omelet,https://images.eatthismuch.com/med/225159_tabitharwheeler_f263549e-39ca-4e79-93f0-c209a9ab48c6.jpg,362.0,7.3,27.4,26000.0,Mahal,Normal,1
Salad Ayam Buffalo,https://images.eatthismuch.com/med/907110_mmclaxton04_7c274cdd-92f4-4d9f-a10c-d97cb8506fd8.jpg,228.0,8.8,28.4,20000.0,Normal,Vegetarian,2
Mozzarella Tortilla Pizza,https://images.eatthismuch.com/med/33905_SexyMaps_3c8a5786-9c0b-4ab9-99c9-8e22e2143260.jpg,196.0,17.6,11.4,18000.0,Normal,Normal,2
Gordon Ramsay's Scrambled Eggs,https://images.eatthismuch.com/med/33946_tabitharwheeler_35f8e68e-7902-44f0-b45a-0c6607809387.jpg,446.0,1.3,19.3,27000.0,Mahal,Keto,1
Dada Ayam Madu dan Kacang Pecan,https://images.eatthismuch.com/med/39310_tabitharwheeler_2758cdd1-e752-40ba-ab83-e7bca151b42c.jpg,386.0,30.3,28.9,32000.0,Premium,Normal,1
Salad Tuna dan Alpukat,https://images.eatthismuch.com/med/924619_Tahirah_Fo_Ferah_be330bb4-505c-4ea2-b074-26ad678577a2.jpg,226.0,5.3,33.3,19000.0,Normal,Vegetarian,2
Ayam Bawang Putih,https://images.eatthismuch.com/med/303915_kgines_aca74c1a-c539-443c-8add-95c5d2a0e196.png,353.0,10.1,53.4,23000.0,Mahal,Normal,1
Bayam Tumis Bawang Putih,https://images.eatthismuch.com/med/57064_tabitharwheeler_bbbf21b7-f213-4541-acb2-1d53ae33d8a0.jpg,102.0,6.9,5.0,15000.0,Normal,Vegetarian,2
Asparagus Saus Balsamik,https://images.eatthismuch.com/med/47247_erin_m_3b6f446d-be00-4f9f-8d47-89c18ba33c2e.png,58.0,5.4,2.7,5000.0,Murah,Normal,0
Nasi Goreng,https://images.eatthismuch.com/med/33939_tabitharwheeler_0c9f0dbe-5745-48a6-9792-7e53ef253bbb.jpg,390.0,55.3,15.5,28000.0,Mahal,Normal,1
Sandwich Ayam Barbeque,https://images.eatthismuch.com/med/50746_erin_m_d2616545-19ef-45b3-b5ec-fd2b0986c87a.png,491.0,38.6,39.5,21000.0,Mahal,Normal,1
Daging Sapi Panggang Saus Balsamik,https://images.eatthismuch.com/med/36698_tabitharwheeler_b723d0d0-7dfb-4463-930f-15225ca8c018.jpg,334.0,6.5,22.5,33000.0,Premium,Normal,1
Asparagus Panggang Teflon,https://images.eatthismuch.com/med/39329_tabitharwheeler_2c7eda2f-2ee9-4831-aea2-fa6cca96dffd.jpg,54.0,4.6,2.5,7000.0,Murah,Keto,0
Salad Tomat,https://images.eatthismuch.com/med/33940_erin_m_630964d1-02d1-420a-957f-f0e3cedc82ef.png,68.0,13.4,3.0,10000.0,Normal,Vegetarian,0
Buncis Minyak Zaitun,https://images.eatthismuch.com/med/45085_tabitharwheeler_ccc9814e-ff99-4c1b-9638-0d3775f8c74a.jpg,95.0,7.8,2.1,7000.0,Murah,Normal,0
Kopi Blended dan Shake Protein Selai Kacang,https://images.eatthismuch.com/med/34763_tabitharwheeler_a870f31c-ce4e-47ed-b1ea-499861d79525.jpg,528.0,51.5,40.9,25000.0,Mahal,Normal,1
Kentang Goreng Ubi,https://images.eatthismuch.com/med/34973_tabitharwheeler_c4fbce56-35ae-441a-ae7b-a7a7e3e883ba.jpg,239.0,42.5,2.4,13000.0,Normal,Normal,2
Selai Kacang pisang Oatmeal,https://images.eatthismuch.com/med/54631_tabitharwheeler_8ae61a14-58fd-4a7d-b1f5-95d7d5720901.jpg,311.0,48.0,10.6,35000.0,Premium,Normal,1
Strawberry Smoothie,https://images.eatthismuch.com/med/412984_tabitharwheeler_06ade64c-ccdc-4e0d-8fc1-3669754919e6.jpg,278.0,33.9,33.7,18000.0,Normal,Normal,1
Oatmeal Pisang Selai Kacang dan Cokelat,https://images.eatthismuch.com/med/43621_erin_m_476e6fb1-f2b0-405b-b44c-25ec2ff4a773.png,550.0,66.5,36.9,24000.0,Mahal,Normal,1
Chicken Strips,https://images.eatthismuch.com/med/921865_i_heart_tjs_dfef9c17-e55d-4428-bf8a-93a61224fb18.jpg,152.0,0.0,26.5,18000.0,Normal,Keto,2
Ayam Bakar Mediterranean,https://images.eatthismuch.com/med/33604_erin_m_ba55c968-33b2-4d1c-a6a1-103105b18087.png,420.0,4.0,53.9,23000.0,Mahal,Keto,1
Oatmeal dan Buah Persik,https://images.eatthismuch.com/med/34544_erin_m_8ca1a6db-3cb9-4f36-93d5-0537f8eb871c.png,176.0,39.6,5.7,18000.0,Normal,Normal,2
Chicken Caesar Wraps,https://images.eatthismuch.com/med/34691_erin_m_5fa11394-90d0-4f53-b452-3889802164c6.png,560.0,26.9,34.1,39000.0,Premium,Normal,1
Telur Rebus,https://images.eatthismuch.com/med/39219_tabitharwheeler_2b8f8e4b-ec63-41d2-beeb-40a5456d6815.jpg,72.0,0.4,6.3,10000.0,Normal,Keto,0
Orak-arik Putih Telur dengan Alpukat dan Tomat,https://images.eatthismuch.com/med/4368678_jsastre199_259f6134-1679-4cce-a76c-5931c8ac09c4.jpeg,273.0,15.6,20.6,11000.0,Normal,Normal,2
Keju Cottage dengan Tuna Pedas,https://images.eatthismuch.com/med/332370_erin_m_bcb3777c-be65-4aef-8b37-dcb941614aac.png,228.0,4.0,46.2,18000.0,Normal,Keto,1
Salad Tuna dan Kacang Putih,https://images.eatthismuch.com/med/332363_TZNewman_0820f6f1-c628-4182-bb00-df1d0e064c30.jpg,362.0,43.6,30.7,24000.0,Mahal,Vegetarian,1
Fast Oatmeal,https://images.eatthismuch.com/med/50036_tabitharwheeler_c3226eea-a168-42c9-aede-7b411a4ad2f7.jpg,244.0,58.3,6.0,10000.0,Normal,Normal,2
Beef Tacos,https://images.eatthismuch.com/med/211394_erin_m_6d5851e7-a3d0-4fc7-97c2-dec3fcc06e7d.png,238.0,9.4,12.1,13000.0,Normal,Normal,2
Es Krim Pisang Nanas,https://images.eatthismuch.com/med/332352_MikeOcho_f4fa869c-3598-4d0c-a85e-d071972d909a.png,280.0,72.0,2.9,13000.0,Normal,Normal,2
Chicken Club Sandwich,https://images.eatthismuch.com/med/33493_erin_m_52104ea7-bf52-4fb4-9ca7-a5974632c0fa.png,788.0,43.5,29.6,21000.0,Mahal,Normal,1
Omelet Keju dan Bayam,https://images.eatthismuch.com/med/33531_tabitharwheeler_911265d9-ec9f-436f-97ac-6935023cb566.jpg,533.0,2.0,26.8,39000.0,Premium,Keto,1
Telur Orak-arik Sayur,https://images.eatthismuch.com/med/717738_MTawheed_a35930f8-aef1-4685-aef5-3dee288eea87.jpg,511.0,33.2,29.1,26000.0,Mahal,Vegetarian,1
Zucchini Hash Browns,https://images.eatthismuch.com/med/209451_tabitharwheeler_ad1759e7-6764-471c-8a7f-e4024daaa0e4.jpg,159.0,7.4,7.9,13000.0,Normal,Normal,2
Telur Orak-arik dengan Sayuran,https://images.eatthismuch.com/med/412900_tabitharwheeler_118d0242-4f53-4ef5-92c0-6fe8abe548be.jpg,161.0,6.5,8.2,14000.0,Normal,Vegetarian,2
Dada Ayam Parmesan Rempah,https://images.eatthismuch.com/med/35421_tabitharwheeler_dc189f1b-330f-4c7f-a92a-274f491c73bb.jpg,292.0,4.4,34.9,10000.0,Normal,Keto,2
Kentang dan Paprika Tumis,https://images.eatthismuch.com/med/45556_tabitharwheeler_dafc6361-ffb5-41b4-b8e2-152f82414fd8.jpg,442.0,63.3,7.6,37000.0,Premium,Normal,1
Scramble sosis Telur dan Keju,https://images.eatthismuch.com/med/412929_tabitharwheeler_b0345d67-b4a8-42f6-bcdb-e7aa6ad20577.jpg,323.0,8.9,22.1,25000.0,Mahal,Normal,1
Salad Ayam Jeruk Nipis,https://images.eatthismuch.com/med/907212_Shamarie84_d55ed57a-284c-4637-8080-e9ac535d658d.png,242.0,3.3,32.5,20000.0,Normal,Keto,2
Ayam Paprika Asap,https://images.eatthismuch.com/med/295471_ale_marc_7c10ff33-581c-4919-9a2c-e5ccd33d3367.png,386.0,2.6,53.8,21000.0,Mahal,Keto,1
Kentang Goreng Rumahan,https://images.eatthismuch.com/med/206224_tabitharwheeler_d3c89696-70f1-4966-915c-ea9af1ad6229.jpg,295.0,50.0,6.0,13000.0,Normal,Normal,2
Smoothie Selai Kacang Creamy,https://images.eatthismuch.com/med/34735_erin_m_0859f467-4e78-45a1-a353-e07b0c355840.png,374.0,10.4,30.0,38000.0,Premium,Normal,1
Perkedel Tuna,https://images.eatthismuch.com/med/33953_erin_m_d68769ca-1f53-48eb-97c6-3ded69e30d00.png,335.0,21.4,42.9,36000.0,Premium,Normal,1
Sandwich Selada dan Tomat,https://images.eatthismuch.com/med/33506_erin_m_d7ccb7f3-f742-4034-9d9f-7f1d4010d220.png,452.0,28.0,14.2,21000.0,Mahal,Normal,1
Ayam Saus Persik,https://images.eatthismuch.com/med/45419_StephanCrowley_874c2cd7-9481-485c-afa4-71e37fc182c5.png,234.0,16.5,27.3,10000.0,Normal,Normal,2
Basic Chicken Salad,https://images.eatthismuch.com/med/45828_tabitharwheeler_65d55548-0604-4a58-a97b-b5e550591931.jpg,410.0,3.7,29.8,20000.0,Normal,Keto,1
Vegan Banana Oatmeal Smoothie,https://images.eatthismuch.com/med/254476_ldementhon_e30c0188-a9fd-4c3b-8f93-e26439ea0dfa.png,395.0,43.5,31.7,39000.0,Premium,Normal,1
Greek Yogurt and Fruit Salad,https://images.eatthismuch.com/med/39532_erin_m_ed668d2b-392f-43f8-82dc-7119965ba96f.png,263.0,33.0,14.3,13000.0,Normal,Vegetarian,2
Easy Paleo Garlic Chicken,https://images.eatthismuch.com/med/253958_ldementhon_b7ff97df-1fcd-4929-9d68-f9caeb2e971a.png,208.0,1.6,26.9,15000.0,Normal,Keto,2
Egg in a Basket,https://images.eatthismuch.com/med/46007_tabitharwheeler_4660e549-5a57-402a-955e-82ce8dcc360a.jpg,193.0,12.4,9.8,18000.0,Normal,Normal,2
Basic Paleo Scrambled Eggs,https://images.eatthismuch.com/med/253957_ldementhon_99b1c917-bca0-4ef1-8be0-acd8181cea04.png,282.0,2.4,19.4,11000.0,Normal,Keto,2
Maple Glazed Salmon,https://images.eatthismuch.com/med/213320_tabitharwheeler_82c2c5ba-66fb-48cd-957a-fa362c57fe30.jpg,309.0,10.6,34.1,29000.0,Mahal,Normal,1
Spinach Taco Salad,https://images.eatthismuch.com/med/924528_Talia303_febc9a1a-1b8a-4659-829a-e5a61a1430db.jpg,364.0,15.5,24.1,21000.0,Mahal,Vegetarian,1
Tuna Melt Patties,https://images.eatthismuch.com/med/34566_tabitharwheeler_f0b8e092-ec6c-49a1-b02a-79ce730b27ff.jpg,200.0,11.5,25.4,15000.0,Normal,Normal,2
Tropical protein smoothie,https://images.eatthismuch.com/med/34387_erin_m_da7d21fb-43f0-4110-ac41-e2924fd14f08.png,425.0,76.9,28.4,21000.0,Mahal,Normal,1
Banana Oatmeal Smoothie,https://images.eatthismuch.com/med/42556_tabitharwheeler_c1046f3d-8648-4c61-9730-6f9c7d300a31.jpg,718.0,95.7,50.4,25000.0,Mahal,Normal,1
Grilled turkey sandwich,https://images.eatthismuch.com/med/33530_tabitharwheeler_7a3fb23e-4ed0-465e-96ab-ca5e40a303f5.jpg,425.0,34.2,29.9,25000.0,Mahal,Normal,1
Basic Chicken Quesadilla,https://images.eatthismuch.com/med/34084_JoeOcho_25738644-f714-446b-8adb-731833514dec.png,852.0,48.3,61.3,21000.0,Mahal,Normal,1
Protein Southwest Scramble,https://images.eatthismuch.com/med/254564_tabitharwheeler_315a8e95-7d41-442e-876d-22943048f295.jpg,335.0,25.0,24.0,31000.0,Premium,Normal,1
Broiled Sesame Tofu,https://images.eatthismuch.com/med/34099_tabitharwheeler_5c9a3a7a-52c6-4726-b275-2ad2e7227c60.jpg,141.0,9.5,12.0,11000.0,Normal,Vegan,2
Spicy Avocado Toast,https://images.eatthismuch.com/med/34420_tabitharwheeler_fd56d8f0-277f-4d27-a29d-47c5d9d3e124.jpg,550.0,42.9,11.2,38000.0,Premium,Normal,1
Garlic Kale,https://images.eatthismuch.com/med/36722_tabitharwheeler_1aa63d8c-3589-4139-92c1-c6eac85c7f1f.jpg,81.0,3.9,1.6,6000.0,Murah,Keto,0
Summer Shrimp,https://images.eatthismuch.com/med/33954_tabitharwheeler_295df205-6676-44d5-868b-6ad9c2fcbf39.jpg,192.0,2.7,20.8,19000.0,Normal,Keto,2
Soft Boiled Eggs & Toast,https://images.eatthismuch.com/med/852857_tabitharwheeler_6bec9144-7f46-461e-9f9c-037b15bef681.jpg,284.0,24.7,19.5,10000.0,Normal,Normal,2
Bachelor Brussel Sprouts,https://images.eatthismuch.com/med/203296_HillOK444_5b51edbb-11d0-4621-8d28-76ae161428cc.png,156.0,8.2,3.0,13000.0,Normal,Normal,2
Turkey Sandwich,https://images.eatthismuch.com/med/323667_joesnyder1_540bf165-e310-4a86-9f7c-ce1d1bf1269c.png,335.0,31.5,18.8,26000.0,Mahal,Normal,1
Seared strip steak,https://images.eatthismuch.com/med/34087_tabitharwheeler_694ccccd-bc5c-4327-9a3f-b9ab68e9e4e7.jpg,461.0,0.3,33.4,26000.0,Mahal,Keto,1
Chicken Bacon Ranch Wrap,https://images.eatthismuch.com/med/33526_erin_m_d6ba28b4-81bf-4615-b27c-36fb9e01c30b.png,510.0,26.6,34.8,20000.0,Normal,Normal,1
Tortellini Southwest,https://images.eatthismuch.com/med/45266_erin_m_1a5377c9-ba1f-44b1-af61-b034f031c7ca.png,355.0,44.0,18.5,40000.0,Premium,Normal,1
High Protein Omelet,https://images.eatthismuch.com/med/320804_MichaelDuw%C3%A9_a4c543a1-4075-4e8e-9467-4cc09f46b73c.png,302.0,23.1,27.4,32000.0,Premium,Normal,1
Ham and Egg Mushroom Cups,https://images.eatthismuch.com/med/56754_PBnJammie_e23bc5b8-3317-41bb-b9a0-1fdd7b62ff10.jpeg,195.0,4.7,12.7,14000.0,Normal,Keto,2
Big Bad Bean Burrito,https://images.eatthismuch.com/med/57131_i_heart_tjs_aaa74afc-d627-44bf-8f65-65a2255df7bb.jpg,287.0,33.3,8.2,11000.0,Normal,Normal,2
Ham and Egg Scramble,https://images.eatthismuch.com/med/928005_tabitharwheeler_841d26df-fd34-46b1-8ef5-55c3a094466e.jpg,291.0,5.9,29.1,16000.0,Normal,Normal,2
Blueberry protein pudding,https://images.eatthismuch.com/med/386736_tabitharwheeler_b4fb322b-4b0e-41a5-8964-32e845db0def.jpg,432.0,26.7,72.8,39000.0,Premium,Normal,1
Baked Spinach and Eggs,https://images.eatthismuch.com/med/385883_tabitharwheeler_43242cfb-45e0-4473-8b1f-c44b17206825.jpg,145.0,2.3,9.8,19000.0,Normal,Keto,2
Almonds and Blueberries Yogurt Snack,https://images.eatthismuch.com/med/905846_AlexandraPetric_89a58047-cca9-4f8f-9ea3-749c36063e24.jpg,218.0,19.8,21.4,16000.0,Normal,Normal,2
French Dip Sandwich,https://images.eatthismuch.com/med/223429_erin_m_c8f4bb38-df9d-415b-b636-08d32f9edbe2.png,208.0,22.5,9.9,10000.0,Normal,Normal,2
Basic Eggs,https://images.eatthismuch.com/med/905711_tabitharwheeler_5e5c1d26-e56a-45af-a35b-fabae62f3ad6.jpg,183.0,0.7,12.6,18000.0,Normal,Keto,2
Asian Style Beef and Broccoli,https://images.eatthismuch.com/med/33819_erin_m_cc946223-db2d-4316-be3c-da672afa06df.png,248.0,8.7,21.1,15000.0,Normal,Normal,2
Oatmeal and raisins,https://images.eatthismuch.com/med/34542_erin_m_6c837755-7bc1-487c-8f4c-65137602cf82.png,259.0,62.3,6.2,18000.0,Normal,Normal,2
Apple Toast,https://images.eatthismuch.com/med/36608_i_heart_tjs_03e71b9c-9c21-4b40-9471-786cee2208b1.jpg,130.0,21.2,3.7,12000.0,Normal,Normal,2
Tuna Stuffed Pepper,https://images.eatthismuch.com/med/3238296_PBnJammie_3d14c1ec-5c4a-44f3-85b2-1306136ed059.jpeg,200.0,10.2,34.4,13000.0,Normal,Normal,2
Firecracker Burgers,https://images.eatthismuch.com/med/36701_tabitharwheeler_cdf72e71-fcb5-477b-a160-352cd88415ed.jpg,403.0,2.4,26.5,40000.0,Premium,Keto,1
Zucchini Hash,https://images.eatthismuch.com/med/254574_tabitharwheeler_89af8e31-a75e-472e-8cda-648d90a4a561.jpg,218.0,12.7,16.8,12000.0,Normal,Normal,2
